//踊り子,,,,,
#DANCER,,,,,
,,,,,
//1ループあたりの拍数（4分音符）,,,,,
#LOOPBEAT,16,,,,
#IMAGE,b35.png,1,1,,
#FRAME,,0,,,
#IMAGE,b36.png,1,1,,
#FRAME,,0,,,
#IMAGE,b37.png,1,1,,
#FRAME,,0,,,
#IMAGE,b38.png,1,1,,
#FRAME,,0,,,
#IMAGE,b39.png,1,1,,
#FRAME,,0,,,
#IMAGE,b40.png,1,1,,
#FRAME,,0,,,
#IMAGE,b41.png,1,1,,
#FRAME,,0,,,
#IMAGE,b42.png,1,1,,
#FRAME,,0,,,
